,poap_name,frequency
288,FOHMO 3 PRE-PARTY,15
289,"Evening with Aztec, Maker and Melon",15
290,POAP Community Call #1,15
291,Intro to Melon Protocol | Southeast Asia DeFi Week 03.06.2020,14
292,Philly Blockchain Tech April 2020,14
293,Intro to MAKER | Southeast Asia DeFi Week 01.06.2020,14
294,Volunteer - ETHDenver 2020,14
295,Decentraland Halloween 2020 - Ghosts 'n Graves,14
296,Proof of Gucci design competition,14
297,Chicago Ethereum meetup - Using smart contracts in L2 with optimistic rollup,14
298,Ethereum Buenos Aires Meetup - Junio 2019,14
299,Club Nyan Cat Soft Opening,14
300,The Community Twin,14
301,#DeFi Summit,14
302,Soliens Secret Society OG Star People,14
303,ファオ帝国 フラッグコンプリート記念バッジ,14
304,Ledger Nano S Plus: Genesis Edition,14
305,CONFLUX,14
306,DeadHeads Episode One Watch Party,14
307,Synthetix Governance,14
308,Ethereum Stakers Community Call #5,14
309,KlimaDAO Copper Fair Launch Auction,14
310,Devcon 5 Scholar,14
311,Commeownity Call #2_8.4.2021,13
312,NONCON 2020 - Speaker,13
313,ETH2 Studymaster GENESIS,13
314,InterCon - Mission Control,13
315,ETH Network - Attendee (Gen 7),13
316,DXD One Year Anniversary - DXD Holder 2020-2021,13
317,POAP.art Sandbox Weekly Canvas - Week 25 2021,13
318,36th Chaos Communication Congress,13
319,XCOPY REKT,13
320,Ethereum EIP 1559 (222),13
321,Rutgers Blockchain Workshop 101,13
322,The One Millionth POAP POAP,13
323,DAOSquare Community Overload,13
324,Covalent | Apprentice Alchemist,13
325,BitcoinMalaysia Fastpass | 11 April 2020 - Certified by Blocklime,13
326,Ethereal Summit 2021 - Attendee ,13
327,imToken Security Ambassador POAP,13
328,Casa Bonita,13
329,UtkalHacks 2.0,13
330,"#Staking4Fitness, cohort1",13
331,Birthday-Party-Mariano-Conti,12
332,Apefest Day 1,12
333,BAYC Death Nut Challenge 2021,12
334,Decentraland Halloween 2020 - Temple Trouble,12
335,DevCon1,12
336,"ETHKL Bitcoin Halving Special: An Exchange with Luno, Sinegy, and Tokenize",12
337,Steward - ETHDenver 2020,12
338,Decentraland Halloween 2020 - Party!,12
339,Ethereal Sessions #002,12
340,Stoner Cat owner as of August 2021,12
341,ETHTURIN 2020 - Attendee,12
342,[Space Inmates] Employee Benefit,12
343,$WHALE 1 year anniversary,12
344,POAP.art Sandbox Weekly Canvas - Week 18 2021,12
345,Beacon Book - Bankless Edition Raffle,12
346,Decentraland Halloween 2020 - Final Huntdown,12
347,Float Protocol Minting Ceremony,12
348,WashingtonElite,12
349,Ethereum.org 2021 POAPs,12
350,Apefest Day 3,12
351,PIE DAO Community Call #6,11
352,Sale of Fidenza #938 - AB Community POAP,11
353,The Big Bang - Charged Particles Launch Party ,11
354,EthereumBA 26th edition,11
355,Ethereum 2.0 Deposit Contract Launch,11
356,PieDAO Rush Week - Beer and Pie,11
357,Intro to WBTC | Southeast Asia DeFi Week 05.06.2020,11
358,FriDAI Brunch #1,11
359,CryptoChicks Hatchery 2020,11
360,I Got Rugged On Deeze-Fi Spaces On Twitter.com,11
361,Rutger's Blockchain Hub & eToro,11
362,Dragon Quest - Hacker,11
363,CoinGecko 7th Anniversary Celebration Winning NFT,11
