,owner_of,number of tokens
42769,0xe5ee2b9d5320f2d1492e16567f36b578372b3d9f,833
42811,0xe6291213d431d1da9921456aab3901fa91cd0f14,53
42856,0xe6683e6aae795a8b71015d955ce0248d684dc2e3,173
42916,0xe6b4cd8d3f0de86836f74c9e6ea24325219f2347,228
42925,0xe6c486eb5f5cc2c64b53ab6c3942986d648c9b89,225
42986,0xe703f231ab056ecb99c92a1232cc1020acfc72f8,1535
43055,0xe74f9211016af21ad247973c371f0cfc2f5a7d5b,32
43074,0xe7677698617c6a3d4676eb787c1bc10081d5b8d3,116
43202,0xe7f99cb8c3519bee12977a9beb6dbbe39c98e8f3,32
43206,0xe7fe4d9c4b41a80f337adc26fb5f1bb87d805235,81
43256,0xe849fa28a0d05fb1d6d82d0c24aa293df1b7ea14,58
43261,0xe84da45a30287bf0e5828c39989989970ab34dac,117
43293,0xe8812ec6038bf0966fd79b1bb68b14e57e46fafb,40
43313,0xe896675803da7df23c9bbda3646bbd82593b6668,499
43331,0xe8af12e3c4d34d3aa27a38258d6ce1b803a37e02,221
43345,0xe8bb5796e841e2814266e1bd04f02edd8fb5ea29,412
43361,0xe8d1f8c4325cbc81f02db7b5ef208a65493d8166,136
43366,0xe8d848debb3a3e12aa815b15900c8e020b863f31,447
43369,0xe8de914248c915060e629fec5ddf3d01ce723588,238
43424,0xe925e176846a8dbfec1ffcdd1ead58345680a427,92
43476,0xe96a1b303a1eb8d04fb973eb2b291b8d591c8f72,107
43502,0xe987408df55bccada83447cc1ecfbe5765655f4e,55
43511,0xe997b6b720043c2fb35fc67a492427018c9a22ce,167
43529,0xe9b4a11f3447b908f0680b97982d616af3066ead,267
43685,0xea7c036e5ad5383674138e43e2ecaef8854eced9,28
43705,0xea9724fe1b46b3e397e3b00a62323e49c867cacc,90
43754,0xead90127d60f78f3e97781938418004be1794eae,298
43809,0xeb197b76f320c854bc18dbf62bd33a28663abeee,206
43810,0xeb1c22baacafac7836f20f684c946228401ff01c,1220
43829,0xeb369f468d91e575fd30712a0abfcf99fdf75e30,228
43833,0xeb38616ff63fd82eac754135e2068271ec8a2c1d,41
43899,0xeb8e272a17d785b93d14c70453a401a1cbae755a,53
43967,0xebf02c6e12c3ee119abba161c40bfeead0a06b15,1464
44053,0xec6d36a487d85cf562b7b8464ce8dc60637362ac,150
44061,0xec7641e298af02c19171451381c570327389b0c2,2599
44102,0xecaa643997033b1ba605d32748cfe9bdad141880,502
44148,0xecf020271232682c86cefc8e1e1cc2a2880aef4b,27
44159,0xecfa7d8b27b20ba6c386a55a6d0eb4a720b3a368,16
44211,0xed3c3bffcf147850406d0e58ce4f4ebd2b5cd96c,224
44219,0xed4b870b183f58ca022c20500221c98aef1937e6,267
44235,0xed5bd59ae895b737cdc797bf9f23ee57d62b8ee1,99
44247,0xed6a532b10645cd7598d18a89fba4ce026e8a3dd,60
44255,0xed76912506d2f49bbac62b441121d34338864a89,101
44279,0xed9ca75f828747fe3da57f05b89665df6b1b54fe,156
44301,0xedba5d56d0147aee8a227d284bcaac03b4a87ed4,3272
44394,0xee402489d83e2b22d496910f8c810d35a3ad7b25,9244
44443,0xee824c184fd58532e1d7f467c975f343cbdd75a5,12
44457,0xee9158199b2a11696f048a1151156bcdbe431e32,42
44479,0xeeb5f47d4bbde0ae4a02bf23cab0e0a08948f0b7,56
44506,0xeede4f6114a9f166a52de679e21144656b3d8b0d,41
44520,0xeeec0e4927704ab3bbe5df7f4effa818b43665a3,2
44569,0xef34f0fad2bec63a7d47d4a2179b3c06fbe4abb3,120
44609,0xef764bac8a438e7e498c2e5fccf0f174c3e3f8db,1940
44622,0xef825e52812b7c9868dacb492b0ab674149e6c69,58
44793,0xf07a2439296e07bc4320af924e655a01fb69d89c,74
44850,0xf0c34155f57d6953ed22cbecab9764c7c9da2fbb,158
44888,0xf0f225e01cf084d3c246ad595ab60d0d4f5b4c78,809
44930,0xf12d70c84a696d0fffab90e3ca2e21e4d4b8be34,71
44960,0xf15243c48c34c4d63cdd78b297374eccd625d443,67
45068,0xf1db8a2623193757317639d0532daa5e3c8ea20c,304
45119,0xf22f00d0b95b1b728078066e5f4410f6b2be8fae,1131
45121,0xf2330a140085dea60e76f2e3cf18a49cd56e298a,26
45130,0xf23a873b5bc29d9269ad4a50f093477f4599c007,413
45176,0xf27078bf9bdc462fe72bc06e3273dde7c5a41bb5,84
45200,0xf29155745c8ee222d4f7d6a2a7a50c1901f27de2,353
45246,0xf2e47ec484695e8716c822ce422911b14877dc88,27
45297,0xf336e96b7b6966a0b6aa057a56052ad8def9b09b,245
45418,0xf3d9281fa183b74f32b96e1c5244596045f4ede8,53
45473,0xf42a339f93c1fa4c5d9ace33db308a504e7b0bde,164
45546,0xf4a11c01e5e8244233c5a4e7ff4052781c333e36,81
45576,0xf4d176848a02eb80b507e5301e6338accbda4900,204
45618,0xf50131d7d2b5239fe1e934658fe3f6131532a437,1434
45722,0xf585fa336f58518c729e4ea0441293af0f169194,91
45727,0xf588f21d5827bda25c6d70d2312319ee05f1b396,77
45792,0xf5dcb2a47f738d8ba39f9fa2ddc7592f268a262a,78
45804,0xf5ef75ec951fb9eeff3b1b43e82cb8a9e33aaa1e,27
45817,0xf601ce1016652ac039b65bfcb81654df4c68296d,57
45836,0xf6210b4bb2fe841630eb50001e688c4bc058b602,73
45879,0xf654bf086ab06019a47a4426334a991a6a231fa6,18
45896,0xf66c53f324529c24e29eaef7cf8467af99089c0b,166
45925,0xf69ea6646cf682262e84cd7c67133eac59cef07b,355
45962,0xf6cdba86999372f8b9104234885edfdaa1eb01d1,113
46048,0xf74c487e7d9ffebdcfb3189118d74b0b8591dc83,39
46106,0xf78cd306b23031de9e739a5bcde61764e82ad5ef,159
46139,0xf7b3226e803b2deda9af1568237be5b316a20af2,46
46150,0xf7c29c1aaa5f5c378c91aea15eda37503003b41f,50
46183,0xf7ee6c2f811b52c72efd167a1bb3f4adaa1e0f89,217275
46187,0xf7fb07e46a54a0878105c6271b753948e715a962,70
46194,0xf805bef419035e77baa5ce77d79347fca5d10054,325
46268,0xf871f8c17c571c158b4b5d18802cc329ee9f19df,222
46305,0xf8a065f287d91d77cd626af38ffa220d9b552a2b,288
46324,0xf8c75c5e9ec6875c57c0dbc30b59934b37908c4e,1188
46333,0xf8d0a4542b1277d8a330e69cc56bdc109029c623,5749
46381,0xf9107317b0ff77ed5b7adea15e50514a3564002b,40
46427,0xf96149f0a6c42db56e97dad8237335fbff15ff4f,51
46439,0xf97664376416e9379f2354db444bfe3f00b6936b,196
46468,0xf9963dbe9438a5ecb62e5e7c2c081c3d12d48dd5,309
46481,0xf9b7850ee758ca9878a052aeed04f24a50531ea1,161
46500,0xf9dbd46ec67dad36794fe788c29147e00fc25fe7,395
46514,0xf9e8eaceac12cb5c294705b40a47b7fea9c30775,6
46582,0xfa5050d0d5521bd7a743b011b5797a68d2b0b485,17
46584,0xfa53d837b5ddd616007f91487f041d27edb683a0,117
46619,0xfa89ec40699bbfd749c4eb6643dc2b22ff0e2aa6,129
46651,0xfab9a3d37999e12252b47468d2ffd4be15936012,1455
46664,0xfacef700458d4fc9746f7f3e0d37b462711ff09e,693
46669,0xfad5447dc0b7a85735963924bace9b6510baa55d,270
46706,0xfb054de87c048fe9f9d859afe6059d023529e0d8,127
46729,0xfb239e0df3a98f6b728200c14cb364cfc61dc4bc,211
46751,0xfb39a75697b375daba7bf3b109c31c4a271abad6,246
46820,0xfb8c0777051218d3ecb6ade85783b64ce54ad409,366
46870,0xfbc42b6d570e9e9f14a1bf0a39c85ad2b8f03ba5,55
46892,0xfbd483a0e8859e455922b03a052bc3bcdc78f957,47
46990,0xfc71a831061d8324d9b0d61692571346f1732cc5,75
47000,0xfc7b2cbf780ca8bff61002a0018c3aa919426c0f,223
47031,0xfc9dd877930e9799beb663523bd31eefe3c99597,1068
47033,0xfc9fb438c456c771c0b38a57cf0e8a3eab4704fe,251
47039,0xfca5bccedd2e12ec0557300fbc6c736c328f4122,502
47080,0xfce761b176cf360354c92b0efa89cde18cc00c7d,414
47133,0xfd32e8976f4521d3045a2ca44a5549f17e9c1150,35
47206,0xfda01b765ed17bd971e970a24c568513baac43ed,48
47217,0xfdaae0c5a7a56c8265b9f86cf8cd934a494e3733,87
47283,0xfe0d9af0225f0722305f97e42d4f7f5d700bf8d4,60
47299,0xfe2ae5286ec90608f5340cf5bf4e7d868ada05bd,108
47334,0xfe5573c66273313034f7ff6050c54b5402553716,3277
47374,0xfe939bea8df67d56325923ee9d7ce5240b5e493e,155
47398,0xfeb54c3cf914a78e82d14f9cf714d2816b2b1db2,157
47405,0xfec33a90737254dcf9aa33188a11f32797197f93,448
47436,0xfef1697cfa1a6c1211020681405013fee40fe2f2,134
47482,0xff32622d83bbe587d6498f10cc9890ec2cad28a3,10
47517,0xff5269e8ae6a9f2ff2a93c770fd35f8ce71712f8,42
